last_updated,Create Date,Do you feel the True North report identified the key challenges and opportunities facing the region? ,Are you interested in attending future True North events? ,Are you currently a B Corp or in the process of becoming a B Corp?,Would you be interested in hearing more from Brabners about the B Corp process?,Company name,City,Industry,sector,location,Which theme of the True North report do you most identify with and could support activity around?,How would you like to be involved with the True North network?,company_size
2024-01-16 14:01:00,2024-01-16 14:01:00,Yes,Yes,No,Yes,Well North Enterprises,Daresbury,Professional Training & Coaching,Placemaking / Social Value / Health,,Purpose and societal impact,,
2024-01-16 12:30:00,2022-03-28 00:29:00,Yes,Yes,No,Yes,Rebus Recruitment LTD,Burnley,,Recruitment and Advisory,Lancashire,"People, skills and the future",Keeping informed about the latest True North network activities and upcoming events,0-9
2024-01-12 19:48:00,2024-01-12 19:48:00,Yes,Yes,,Yes,Cazenove Capital,St. Peter Port,Investment Management,Wealth management,,Purpose and societal impact,,
2024-01-11 13:09:00,2024-01-11 13:09:00,Yes,Yes,Yes,No,Matchstick Creative,Liverpool,Professional Training & Coaching,Marketing,,Purpose and societal impact,,
2024-01-08 12:30:00,2023-10-25 15:11:00,Yes,Yes,No,No,inCaseTM- Lavatech,Manchester,,Legal,,Innovation and change,,
2024-01-05 18:14:00,2024-01-05 18:14:00,Yes,Yes,No,No,Stonebond Properties,Chelmsford,Construction,Construction; Real Estate,Greater Manchester; Merseyside; Cheshire,Sustainable development; Purpose and societal impact,Keeping informed about the latest True North network activities and upcoming events,100-249
2024-01-03 14:00:00,2022-08-11 11:42:00,Yes,Yes,No,Yes,HSBC,London,Banking,Financial Services,,Innovation and change,,
2023-12-21 16:00:00,2023-12-05 19:14:00,Yes,Yes,No,No,Sitehop,Sheffield,Computer Software,"Communications, Telecommunications, Networking",,Innovation and change,,
2023-12-13 10:00:00,2023-10-04 10:58:00,Yes,Yes,No,Yes,North & Western Lancashire Chamber of Commerce,Fulwood,Management Consulting,All sectors,,"People, skills and the future",,
2023-12-12 16:30:00,2022-03-28 00:29:00,Yes,Yes,No,No,Tech North Advocates,,Computer Software,Tech/Digital/Creative/Innovation/Growth/DigitalSkills,,Innovation and change,,
2023-12-12 11:02:00,2023-12-12 11:02:00,Yes,Yes,Yes,No,Gripple Limited,Sheffield,Mechanical or Industrial Engineering,Manufacturing,,Innovation and change,,
2023-12-07 16:40:00,2023-12-07 16:40:00,Yes,Yes,No,No,,,,community sector,,Purpose and societal impact,,
2023-12-07 12:00:00,2023-12-05 11:57:00,Yes,Yes,No,No,MANCHESTER ALLIANCE FOR COMMUNITY CARE,Manchester,Consumer Services,"Voluntary, Community and Social Enterprise Sector",,Purpose and societal impact,,
2023-12-06 12:00:00,2022-03-28 00:29:00,Yes,Yes,No,No,Pennington Choices,Runcorn,,Professional services,,"People, skills and the future",,
2023-12-05 17:17:00,2023-12-05 17:17:00,Yes,Yes,No,Yes,Royal Bank of Scotland,Alloa,Banking,commercial banking,,Innovation and change,,
