date,new_la_code,la_name,Age,Characteristic_grouping,Characteristic,avgcohort,avgNEETNK,avgNEET,avgNK,NEETNKprop,NEETprop,Notknownprop,annual_change_NEETNK,geography_code
2023,E08000007,Stockport,16-17,Total,Total,6473.66666666667,213.333333333333,200,13.3333333333333,3.29540188455795,3.08943926677308,0.205962617784872,0.523359761906702,E08000007
2023,E08000008,Tameside,16-17,Total,Total,5173.66666666667,420.333333333333,240,180.333333333333,8.12447651568842,4.63887636105921,3.48560015462921,0.0715034704071726,E08000008
2023,E08000009,Trafford,16-17,Total,Total,5984.0,254.333333333333,114.333333333333,140,4.25022281639929,1.91065062388592,2.33957219251337,0.135545780823866,E08000009
2023,E06000007,Warrington,16-17,Total,Total,4805.33333333333,137.666666666667,127,10.6666666666667,2.86487236403996,2.64289678135405,0.221975582685905,0.0150595780185956,E06000007
2023,E08000010,Wigan,16-17,Total,Total,7552.33333333333,378.333333333333,252.333333333333,126,5.0094893410425,3.34113077636051,1.668358564682,0.803065473282794,E08000010
2023,E08000015,Wirral,16-17,Total,Total,7493.33333333333,334.666666666667,269.333333333333,65.3333333333333,4.46619217081851,3.59430604982206,0.871886120996441,0.341601712580546,E08000015
2023,,,16-17,Total,Total,195140.0,13380,4940,8450,6.9,2.5,4.3,1.4,E12000008
2023,E06000036,Bracknell Forest,16-17,Total,Total,2724.66666666667,96.3333333333333,48.6666666666667,47.6666666666667,3.53560068509909,1.78615121115733,1.74944947394177,-0.177603174678605,E06000036
2023,E06000043,Brighton and Hove,16-17,Total,Total,5222.0,199.666666666667,170.333333333333,29.3333333333333,3.82356696029618,3.26184092940125,0.561726030894932,0.0200073030779926,E06000043
2023,E06000060,Buckinghamshire,16-17,Total,Total,12453.0,1060.66666666667,187.666666666667,873,8.51735860167563,1.50699965202495,7.01035894965069,2.6038099394861,E06000060
2023,E10000011,East Sussex,16-17,Total,Total,11238.0,579,472.666666666667,106.333333333333,5.15216230646022,4.20596784718515,0.946194459275079,0.256598910787554,E10000011
2023,E10000014,Hampshire,16-17,Total,Total,30096.3333333333,1452,917.333333333333,534.666666666667,4.82450796885556,3.04799034212363,1.77651762673194,0.714316001899614,E10000014
2023,E06000046,Isle of Wight,16-17,Total,Total,2814.33333333333,115.333333333333,101,14.3333333333333,4.09806940660903,3.58877176359114,0.509297643017885,1.36602891386601,E06000046
2023,E10000016,Kent,16-17,Total,Total,34191.6666666667,1978,1137.33333333333,840.666666666667,5.78503533999513,3.32634657567633,2.45868876431879,0.714945593350695,E10000016
2023,E06000035,Medway,16-17,Total,Total,6810.66666666667,416,201,215,6.10806577916993,2.95125293657009,3.15681284259984,-8.54697553476527,E06000035
2023,E06000042,Milton Keynes,16-17,Total,Total,6653.66666666667,218,132.666666666667,85.3333333333333,3.27638895846901,1.99388808175943,1.28250087670958,-0.454583084113815,E06000042
2023,E10000025,Oxfordshire,16-17,Total,Total,13967.3333333333,616.666666666667,257.666666666667,359,4.41506372010883,1.84478067872655,2.57028304138227,0.641667914441216,E10000025
